"Table with row headers in column A, and column headers in rows 7 through 10.  Leading dots indicate subparts.",,,,,,,,,,,,,,,,,,,,,,,
"MS-1.  Marital Status of the Population 15 Years Old and Over by Sex, Race and Hispanic Origin:  1950 to Present",,,,,,,,,,,,,,,,,,,,,,,
(Numbers in thousands),,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"For more information about ASEC, including the source and accuracy statement, see the technical documentation accessible at: https://www.census.gov/programs-surveys/cps/technical-documentation/complete.html",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Men,,,,,,,,Women,,,,,,,,,,,,,,
,,,,   Unmarried,,,,,,,,   Unmarried,,,,,,,,,,,
,,,,,Never ,,,,,,,,Never ,,,,,,,,,,
Year,Total,Married1,,Total,married,Widowed,Divorced,,Total,Married1,,Total,married,Widowed,Divorced,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
.All races,,,,,,,,,,,,,,,,,,,,,,,
..1995,"82,566","50,658",,"31,909","23,667","1,921","6,321",,"87,484","51,390",,"36,094","18,250","9,399","8,445",,,,,,,,
..1994,"82,026","50,226",,"31,800","23,704","1,878","6,218",,"86,765","50,766",,"36,000","18,235","9,424","8,341",,,,,,,,
..1993,"80,755","50,305",,"30,451","22,738","1,954","5,759",,"86,045","50,668",,"35,377","17,660","9,512","8,205",,,,,,,,
..1990,"78,908","49,542",,"29,367","22,078","1,930","5,359",,"84,508","49,986",,"34,522","17,438","9,800","7,284",,,,,,,,
..1980,"71,887","46,721",,"25,167","20,174","1,642","3,351",,"77,882","47,277",,"30,604","16,318","9,296","4,990",,,,,,,,
..1970,"62,868","42,732",,"20,135","17,080","1,722","1,333",,"68,888","43,286",,"25,602","14,703","8,559","2,340",,,,,,,,
..1960*,"54,130","38,042",,"16,088","13,286","1,816",986,,"57,860","38,545",,"19,315","10,796","7,099","1,420",,,,,,,,
..1950*,"49,302","33,451",,"15,850","12,892","1,986",972,,"51,404","34,042",,"17,362","10,241","5,902","1,219",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
.Black,,,,,,,,,,,,,,,,,,,,,,,
..2021a,"15,747","5,799",,"9,948","8,149",402,"1,397",,"18,502","5,916",,"12,585","8,929","1,536","2,120",,,,,,,,
..2020a,"15,592","5,816",,"9,774","8,014",413,"1,347",,"18,339","5,942",,"12,398","8,709","1,478","2,211",,,,,,,,
..2019a,"15,437","5,782",,"9,654","7,893",433,"1,328",,"18,178","5,953",,"12,223","8,560","1,413","2,250",,,,,,,,
..2019b,"16,396","6,065",,"10,332","8,496",444,"1,392",,"19,432","6,283",,"13,147","9,318","1,447","2,382",,,,,,,,
..2018a,"15,302","5,805",,"9,497","7,691",414,"1,392",,"18,053","5,781",,"12,272","8,624","1,498","2,150",,,,,,,,
..2018b,"16,223","6,096",,"10,127","8,254",428,"1,445",,"19,144","6,123",,"13,021","9,237","1,530","2,254",,,,,,,,
..2017a,"15,042","5,888",,"9,154","7,363",367,"1,424",,"17,793","5,728",,"12,064","8,545","1,448","2,071",,,,,,,,
..2017b,"15,994","6,176",,"9,819","7,957",378,"1,484",,"18,782","6,015",,"12,766","9,129","1,469","2,168",,,,,,,,
..2016a,"14,868","5,576",,"9,293","7,499",415,"1,379",,"17,614","5,591",,"12,023","8,416","1,395","2,212",,,,,,,,
..2016b,"15,695","5,793",,"9,903","8,044",424,"1,435",,"18,609","5,879",,"12,730","8,992","1,422","2,316",,,,,,,,
..2015a,"14,627","5,536",,"9,090","7,297",422,"1,371",,"17,381","5,560",,"11,822","8,234","1,390","2,198",,,,,,,,
..2015b,"15,470","5,795",,"9,675","7,833",425,"1,417",,"18,394","5,873",,"12,521","8,830","1,424","2,267",,,,,,,,
"..2014a, s","14,354","5,660",,"8,693","7,014",374,"1,305",,"17,090","5,681",,"11,409","7,863","1,463","2,083",,,,,,,,
"..2014b, s","15,177","5,938",,"9,239","7,513",382,"1,344",,"18,074","5,941",,"12,133","8,452","1,512","2,169",,,,,,,,
..2013a,"14,114","5,637",,"8,478","6,776",370,"1,332",,"16,879","5,603",,"11,277","7,808","1,403","2,066",,,,,,,,
..2013b,"14,892","5,892",,"9,000","7,265",375,"1,360",,"17,815","5,865",,"11,951","8,364","1,439","2,148",,,,,,,,
..2012a,"13,829","5,477",,"8,353","6,686",309,"1,358",,"16,655","5,522",,"11,133","7,668","1,426","2,039",,,,,,,,
..2012b,"14,486","5,669",,"8,816","7,106",310,"1,400",,"17,419","5,708",,"11,711","8,140","1,455","2,116",,,,,,,,
"..2011a, r","13,671","5,373",,"8,300","6,626",335,"1,339",,"16,474","5,466",,"11,008","7,536","1,392","2,080",,,,,,,,
"..2011b, r","14,340","5,588",,"8,753","7,010",347,"1,396",,"17,273","5,718",,"11,554","7,975","1,417","2,162",,,,,,,,
..2011a,"13,529","5,252",,"8,276","6,651",324,"1,301",,"16,223","5,356",,"10,868","7,454","1,381","2,033",,,,,,,,
..2011b,"14,096","5,440",,"8,656","6,970",334,"1,352",,"16,875","5,560",,"11,314","7,803","1,406","2,105",,,,,,,,
..2010a,"13,304","5,241",,"8,063","6,490",357,"1,216",,"16,046","5,352",,"10,694","7,245","1,465","1,984",,,,,,,,
..2010b,"13,820","5,422",,"8,397","6,761",365,"1,271",,"16,630","5,524",,"11,106","7,564","1,488","2,054",,,,,,,,
..2009a,"13,095","5,299",,"7,795","6,262",330,"1,203",,"15,811","5,506",,"10,306","7,040","1,400","1,866",,,,,,,,
..2009b,"13,604","5,454",,"8,151","6,581",337,"1,233",,"16,362","5,671",,"10,692","7,330","1,430","1,932",,,,,,,,
..2008a,"12,878","5,234",,"7,643","6,121",332,"1,190",,"15,615","5,376",,"10,240","6,872","1,378","1,990",,,,,,,,
..2008b,"13,360","5,394",,"7,966","6,412",335,"1,219",,"16,094","5,520",,"10,574","7,136","1,404","2,034",,,,,,,,
..2007a,"12,706","5,327",,"7,379","5,911",338,"1,130",,"15,411","5,478",,"9,933","6,681","1,381","1,871",,,,,,,,
..2007b,"13,073","5,466",,"7,606","6,118",339,"1,149",,"15,817","5,606",,"10,211","6,890","1,399","1,922",,,,,,,,
..2006a,"12,518","5,116",,"7,403","5,891",336,"1,176",,"15,162","5,204",,"9,957","6,569","1,437","1,951",,,,,,,,
..2006b,"12,939","5,259",,"7,678","6,141",336,"1,201",,"15,615","5,342",,"10,272","6,822","1,453","1,997",,,,,,,,
..2005a,"12,255","5,095",,"7,159","5,743",309,"1,107",,"14,931","5,219",,"9,712","6,485","1,368","1,859",,,,,,,,
..2005b,"12,595","5,203",,"7,392","5,936",311,"1,145",,"15,372","5,348",,"10,024","6,732","1,383","1,909",,,,,,,,
..2004a,"11,987","4,974",,"7,012","5,605",312,"1,095",,"14,678","5,216",,"9,462","6,210","1,357","1,895",,,,,,,,
..2004b,"12,330","5,103",,"7,228","5,795",312,"1,121",,"15,110","5,359",,"9,750","6,417","1,390","1,943",,,,,,,,
..2003a,"11,791","5,022",,"6,769","5,417",323,"1,029",,"14,458","5,265",,"9,193","5,966","1,374","1,853",,,,,,,,
..2003b,"12,159","5,155",,"7,004","5,612",329,"1,063",,"14,884","5,409",,"9,475","6,172","1,400","1,903",,,,,,,,
..2002,"11,695","5,142",,"6,553","5,266",319,968,,"14,442","5,262",,"9,180","6,068","1,354","1,758",,,,,,,,
..2001,"11,527","4,978",,"6,549","5,139",333,"1,077",,"14,236","5,257",,"8,979","5,868","1,376","1,735",,,,,,,,
..2000,"11,687","5,005",,"6,682","5,246",328,"1,108",,"14,167","5,123",,"9,045","6,008","1,367","1,670",,,,,,,,
..1999,"11,483","4,709",,"6,775","5,250",391,"1,134",,"13,964","5,054",,"8,909","5,840","1,395","1,674",,,,,,,,
..1998,"11,283","4,675",,"6,608","5,191",382,"1,035",,"13,715","4,983",,"8,732","5,689","1,370","1,673",,,,,,,,
..1997,"11,113","4,623",,"6,491","5,137",340,"1,014",,"13,514","5,058",,"8,457","5,584","1,307","1,566",,,,,,,,
..1996,"10,922","4,515",,"6,407","5,115",277,"1,015",,"13,292","4,947",,"8,345","5,451","1,330","1,564",,,,,,,,
..1995,"10,825","4,632",,"6,193","5,031",310,852,,"13,097","4,942",,"8,155","5,250","1,380","1,525",,,,,,,,
..1994,"10,639","4,486",,"6,153","5,007",295,851,,"12,872","4,863",,"8,009","5,190","1,322","1,497",,,,,,,,
..1993,"10,442","4,431",,"6,012","4,750",426,836,,"12,495","4,820",,"7,676","4,867","1,401","1,408",,,,,,,,
..1990,"9,948","4,489",,"5,459","4,319",338,802,,"11,966","4,813",,"7,152","4,416","1,392","1,344",,,,,,,,
